N°,Tipo de Imagem de treino,Presença de Artefato,Tamanho da Imagem,Tipo de Redimensionamento,Treinamento,Teste,Máscara,Espaço da Espiral,Modo da Espiral,Intervalo inicial da máscara Treino,Intervalo da máscara Treino,Intervalo inicial da máscara Teste,Intervalo da máscara Teste,Batch Size,N° Steps ,Buffer Size,Número de imagens para calcular métricas,SSIM input(%),SNR input,SSIM predicted(%),SNR predicted,SSIM In SD,SNR In SD,SSIM Pr SD,SNR Pr SD,Observações,Erro,SSIM Real,SSIM Imaginária,SNR Real,SNR Imaginária,RSSIM,Teste,Ordem Teste,RSNR,Relação
54,Imagem Final,Não,512x512,Completar com zero,100,50,Random,-,-,-,50,50,-,1,50,400,50,"0,35","2,01","0,54","7,12",,,,,,,,,,,"1,545",,,"3,534","0,837"
55,Imagem Final,Não,512x512,Completar com zero,100,50,Random,-,-,-,30,30,-,1,50,400,50,"0,54","3,95","0,57","5,13",,,,,,,,,,,"1,062",,,"1,299","0,605"
56,Imagem Final,Não,512x512,Completar com zero,100,50,Spiral1,-,-,-,100,100,-,1,50,400,50,"0,26","3,72","0,45","7,21",,,,,,,,,,,"1,759",,,"1,940","0,796"
57,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,400,5,"0,29","5,08","0,56","9,41",,,,,Primeiro teste feito com mudança no código de treinamento e validação,,,,,,"1,976",,,"1,852","1,114"
58,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,2,1500,400,5,"0,27","3,61","0,55","5,86",,,,,,,,,,,"2,017",,,"1,625","1,100"
59,Imagem Final,Não,512x512,Completar com zero,1500,100,Random,-,-,-,30,30,-,2,1500,400,5,"0,52","3,57","0,57","0,37",,,,,,,,,,,"1,101",,,"0,104","0,632"
60,Imagem Final,Não,512x512,Completar com zero,1500,100,Random,-,-,-,30,30,-,1,1500,800,15,"0,50","2,66","0,56","5,37",,,,,,,,,,,"1,102",,,"2,018","0,612"
61,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1000,96,"0,29","4,02","0,55","7,66",,,,,Primeiro com alterações na rede geradora e discriminadora,,,,,,"1,906",,,"1,903","1,054"
62,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1000,97,"0,29","4,03","0,56","7,92",,,,,Teste com aumento de camadas em relação ao acima,,,,,,"1,952",,,"1,964","1,100"
63,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1000,77,"0,29","3,92","0,59","7,63",,,,,Primeiro teste com código de bloco residual,,,,,,"1,992",,,"1,946","1,166"
64,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1000,72,"0,29","3,98","0,35","6,15",,,,,lambda = 10,,,,,,"1,227",,,"1,544","0,435"
65,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1000,75,"0,28","4,02","0,58","8,02","0,06","2,08","0,07","3,94",lambda = 150,,,,,,"2,067",,,"1,996","1,206"
66,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1000,100,"0,29","4,02","0,60","7,27",,,,,lambda = 200,,,,,,"2,061",,,"1,807","1,227"
67,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1000,100,"0,29","4,21","0,54","7,53",,,,,código usando o step de validação correto,,,,,,"1,861",,,"1,791","1,000"
68,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1000,10,"0,30","4,57","0,43","7,67",,,,,val step corrigido e função de rotação,,,,,,"1,435",,,"1,680","0,610"
69,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1000,10,"0,27","4,14","0,56","7,17","0,05","1,42","0,06","1,35",sem o rotation e sem jitter no val e com prefatch,,,,,,"2,107",,,"1,732","1,177"
"69,2",Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1000,10,"0,28","4,61","0,58","9,27",,,,,,,,,,,"2,031",,,"2,011","1,170"
"69,3",Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1000,10,"0,30","3,80","0,55","6,71",,,,,,,,,,,"1,820",,,"1,764","0,994"
70,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1000,10,"0,26","3,93","0,53","6,59",,,,,Teste sem o filtro Sigmoid na saída do discriminador e logits true,,,,,,"2,060",,,"1,675","1,096"
71,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,1500,1000,10,"0,26","3,77","0,55","6,38",,,,,Generalização realizada no código para imagens de qualquer tamanho,,,,,,"2,103",,,"1,691","1,167"
72,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,500,1000,10,"0,28","4,11","0,51","6,18",,,,,Aumento de tamanho dos filtros nos modelos,,,,,,"1,826",,,"1,504","0,923"
73,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,500,1000,10,"0,25","4,11","0,51","8,44",,,,,"Volta ao normal para verificar as curvas de gen x disc loss e (1e-4, beta_1=0,5)",,,,,,"2,024",,,"2,052","1,039"
74,Imagem Final,Não,512x512,Completar com zero,1500,100,Spiral4,-,-,-,16,16,-,1,500,1000,10,"0,29","4,78","0,59","8,10",,,,,"G (2e-4, beta_1=0,5), D (1e-4, beta_1=0,5)",,,,,,"2,007",,,"1,694","1,184"
